model,phy.grass.insitu,phy.wood.insitu,phy.grass.basinavg,phy.wood.basinavg,charcoal.total.insitu,charcoal.total.basinavg,artifacts,depth.bs.cm,depth.midpoint.cm,model.yr,cal.BP
woodland,0.0749866666666667,6.66e-5,0.0640739502075557,1.11287251386241e-4,2.24106059351277e-4,7.02552814627703e-4,0,0-10,5,474,7026
woodland,0.0732000000000001,5.00042016806723e-5,0.0657440015487939,1.1551234247034e-4,1.50796371687894e-4,7.38188609880768e-4,0,10-20,15,426,7074
woodland,0.0728933333333334,9.90032085561497e-5,0.0604115808109755,1.06526840301289e-4,3.83121548298721e-4,6.84046988108426e-4,0,20-30,25,372,7128
woodland,0.0668400000000001,4.80688311688312e-5,0.0648780230109906,1.13494867393975e-4,1.45807678858983e-4,7.06380435416472e-4,0,30-40,35,329,7171
woodland,0.0774333333333334,5.74987012987013e-5,0.0672066664353939,1.19820038523656e-4,1.7399368299977e-4,7.66696490286977e-4,0,40-50,45,273,7227
woodland,0.0661133333333333,1.12723987776929e-4,0.0634009386221818,1.0371844374623e-4,5.63904551310204e-4,5.9914485849403e-4,0,50-60,55,230,7270
woodland,0.0792533333333334,1.07276623376623e-4,0.0608097802611374,1.03979408699359e-4,4.07657959512307e-4,6.51989418070968e-4,0,60-70,65,183,7317
woodland,0.0757733333333334,6.55012987012987e-5,0.0664566332415541,1.13477888280909e-4,2.10520694731999e-4,7.06303568787315e-4,0,70-80,75,140,7360
woodland,0.04824,1.25945454545455e-4,0.0373633847901465,1.17764520932258e-4,0.00141971551874856,0.00139129124356315,0,80-90,85,101,7399
matorral,0.103026666666667,1.09175477463713e-4,0.0878181001021664,1.51761258460026e-4,4.16913374950332e-4,9.38157568661793e-4,0,0-10,5,439,7061
matorral,0.0800133333333334,1.16248739495798e-4,0.0716697601033655,1.23434630363703e-4,4.99714272957317e-4,7.61163363434148e-4,0,10-20,15,335,7165
matorral,0.08032,7.87268907563025e-5,0.0743038803895102,1.28745100121909e-4,2.95905879498923e-4,8.05109737087746e-4,0,20-30,25,278,7222
matorral,0.0746000000000001,7.99077922077921e-5,0.0698396673468911,1.18514617624031e-4,2.81523772716816e-4,7.16742694603506e-4,0,30-40,35,215,7285
matorral,0.0779333333333334,9.07035141329259e-5,0.067201816003759,1.14166496436252e-4,3.45172030867683e-4,6.85163603878866e-4,0,40-50,45,171,7329
matorral,0.0778000000000001,1.20326508785332e-4,0.0653092153334786,1.15001912747778e-4,4.85094074701465e-4,7.27268216091165e-4,0,50-60,55,117,7383
matorral,0.0229733333333333,3.96103896103896e-5,0.0201619578413638,5.38278184723379e-5,3.84353444904531e-4,4.91694354246845e-4,0,60-70,65,71,7429
agricultural,0.07622,2.38571428571428e-5,0.0801249874860226,2.62157583581539e-5,3.3942857142857e-4,0.00279151597985633,0.00132,0-10,5,471,7029
agricultural,0.0436600000000001,1.33571428571428e-5,0.049759900188522,1.62802333826396e-5,2.05542857142857e-4,0.00173350883443804,8.4e-4,10-20,15,418,7082
agricultural,0.04168,1.25714285714286e-5,0.0497998868982993,1.62961011246148e-5,2.25257142857143e-4,0.00173377784939375,5.2e-4,20-30,25,376,7124
agricultural,0.0456400000000001,1.41428571428571e-5,0.0497057472026772,1.62587441025425e-5,2.87485714285715e-4,0.00172659139509434,7.2e-4,30-40,35,333,7167
agricultural,0.0476200000000001,1.49285714285714e-5,0.04982441760523,1.6305835532127e-5,2.304e-4,0.0017398868034411,8.4e-4,40-50,45,291,7209
agricultural,0.0490600000000001,1.55e-5,0.0497547930776618,1.62782067513459e-5,1.41771428571429e-4,0.00173700958553855,8.2e-4,50-60,55,249,7251
agricultural,0.0481600000000001,1.51428571428571e-5,0.0497196544974637,1.62642628703149e-5,1.78971428571429e-4,0.00173139241967828,7.8e-4,60-70,65,141,7359
agricultural,0.0436600000000001,1.33571428571428e-5,0.0503311505469327,3.98731597976185e-5,2.67942857142857e-4,0.00633402629711407,7.6e-4,70-80,75,102,7398
agricultural,0.0023,7.14285714285714e-7,0.00241546680291978,1.33268261470126e-5,3.05142857142857e-5,0.00297335232938004,0,80-90,85,64,7436
pastoral,0.07012,2.13571428571428e-5,0.0652707397315155,2.02519004233134e-5,4.22914285714285e-4,3.3417545007136e-4,0.00104,0-10,5,417,7083
pastoral,0.0452800000000001,1.4e-5,0.0402254059177873,1.24967039101245e-5,2.292e-4,2.28691885979325e-4,6.4e-4,10-20,15,371,7129
pastoral,0.0467200000000001,1.45714285714286e-5,0.0402033821496561,1.24879643195963e-5,1.99542857142857e-4,2.08819389021767e-4,5.6e-4,20-30,25,332,7168
pastoral,0.0478000000000001,1.5e-5,0.0401027938201386,1.24480483158195e-5,2.66571428571429e-4,2.04575346846034e-4,7.2e-4,30-40,35,294,7206
pastoral,0.0442000000000001,1.35714285714285e-5,0.0402019991896159,1.24874155259295e-5,3.10628571428572e-4,1.96005952238292e-4,6.8e-4,40-50,45,256,7244
pastoral,0.0488800000000001,1.54285714285714e-5,0.040208587673403,1.24900300036228e-5,3.02400000000001e-4,2.13776517655917e-4,0.0011,50-60,55,148,7352
pastoral,0.0496000000000001,1.57142857142857e-5,0.0404618374108399,1.50769736429369e-5,1.23428571428572e-4,4.35428587036533e-4,0.00102,60-70,65,113,7387
pastoral,0.0195066666666667,4.19971428571429e-5,0.0187148055498163,1.00891356411657e-4,0.0275591340740741,0.0198525120896327,3.6e-4,70-80,75,78,7422
